id;date;amount;type;description;reference;category_id;bank_account_id
1;2025-12-04;30078.38;INCOME;fumigate atop;qua of unfurl;1;1
2;2025-12-04;15214.54;INCOME;pull too sightseeing;premier outnumber;2;2
3;2025-12-04;5234.3;EXPENSE;dwell er duh;ecliptic huzzah;3;3
4;2025-12-04;17974.82;INCOME;grown lecture gently;ill;4;4
5;2025-12-04;24337.51;EXPENSE;eggplant phew;excepting upright;5;5
6;2025-12-04;2670.65;EXPENSE;conceal if ew;meanwhile lovingly;6;6
7;2025-12-04;442.45;EXPENSE;nerve space from;lest;7;7
8;2025-12-04;10014.03;EXPENSE;meh parade putrid;like garage;8;8
9;2025-12-04;1481;EXPENSE;duster barring playfully;haze finally though;9;9
10;2025-12-04;28362.57;INCOME;accountability;aha;10;10
